Method,MSD
Raw Data,0.19399535011466693
Bayesian,0.040322968953483945
Bayesian Multi,0.04015404671137726
MA-3,0.1126915942953417
MA-5,0.08991881438646196
MA-7,0.08019070946845136
MA-15,0.06580474115198515
MA-50,0.08380603759042342
MA-75,0.10256094802534498
MA-100,0.1194818143178289
MA-150,0.14554557784440397
MA-1000,0.3544695617211526
Raw Data,0.20288634701273722
Bayesian,0.03845664525863593
Bayesian Multi,0.03846348710182381
MA-3,0.1223654152946383
MA-5,0.09640517642226437
MA-7,0.08449760152357279
MA-15,0.07134854889411896
MA-50,0.0897244758971809
MA-75,0.10808793141269962
MA-100,0.12600091966298507
MA-150,0.15430308625955683
MA-1000,0.37489995906619533
Raw Data,0.194751902584112
Bayesian,0.038823481963870046
Bayesian Multi,0.038502117543388746
MA-3,0.11107185919728627
MA-5,0.08506614789421656
MA-7,0.07293961212811881
MA-15,0.05888299278259112
MA-50,0.07548181005406022
MA-75,0.08665145914492552
MA-100,0.09768570212805217
MA-150,0.11963455785159022
MA-1000,0.2842555790307011
Raw Data,0.20678448734030552
Bayesian,0.047846370949516555
Bayesian Multi,0.04782525805652869
MA-3,0.12566079104803263
MA-5,0.10158236391102297
MA-7,0.09010436265455918
MA-15,0.07272591749312914
MA-50,0.08832991028747511
MA-75,0.10344773889009484
MA-100,0.11760121679772237
MA-150,0.14229619298733018
MA-1000,0.29612543224356874
Raw Data,0.20003384298412252
Bayesian,0.038859164373431114
Bayesian Multi,0.03874401579502109
MA-3,0.11282637169673843
MA-5,0.08649253114610383
MA-7,0.07346190012701602
MA-15,0.05918877730915418
MA-50,0.06595007553844866
MA-75,0.07580949313429436
MA-100,0.08353789369713017
MA-150,0.10451938461601401
MA-1000,0.2536729445860608
Raw Data,0.20452414790725962
Bayesian,0.040384333778396
Bayesian Multi,0.04033819495916181
MA-3,0.1186632353536844
MA-5,0.09291203634685226
MA-7,0.07961855254597036
MA-15,0.05878997636300816
MA-50,0.06461556707648208
MA-75,0.07463295493910477
MA-100,0.08599523585239097
MA-150,0.10696257031167598
MA-1000,0.2523629956278249
Raw Data,0.19819131145906738
Bayesian,0.03894946111080287
Bayesian Multi,0.03838549204352393
MA-3,0.11512564306686308
MA-5,0.08954022301004222
MA-7,0.07603214975236555
MA-15,0.059384128628867335
MA-50,0.06961967413972424
MA-75,0.08483773726485642
MA-100,0.09510824410922862
MA-150,0.11056097304243742
MA-1000,0.29358528723989336
Raw Data,0.20170031450558343
Bayesian,0.044781782834494535
Bayesian Multi,0.04426889671780323
MA-3,0.11600307285453701
MA-5,0.09428059192243972
MA-7,0.08392954889192067
MA-15,0.0718438784378545
MA-50,0.09946153335301257
MA-75,0.11565254623038924
MA-100,0.13233514643162322
MA-150,0.15958349730501745
MA-1000,0.36128831874100326
Raw Data,0.1981060937347926
Bayesian,0.035785237929758004
Bayesian Multi,0.03573903949428862
MA-3,0.11265291781273819
MA-5,0.09067155325964252
MA-7,0.07936758158012822
MA-15,0.06593646650902216
MA-50,0.08243329774196592
MA-75,0.09553543160261876
MA-100,0.10812666337216736
MA-150,0.1301517667892745
MA-1000,0.2904770946097018
Raw Data,0.20176712759007212
Bayesian,0.03626947805504165
Bayesian Multi,0.03620508421317531
MA-3,0.1197625126471793
MA-5,0.09419517205673819
MA-7,0.08193564046318724
MA-15,0.06790527204797729
MA-50,0.07345937012004408
MA-75,0.0872625251777904
MA-100,0.10190553853277505
MA-150,0.1251177357746716
MA-1000,0.3251013004326944
