Method,MSD
Raw Data,0.19399535011466693
Bayesian Single,0.041158150893537165
Bayesian Single,0.04008057809110677
Bayesian Single,0.04049658248733345
Bayesian Single,0.040228586207352944
Bayesian Single,0.04000625729353321
Bayesian Single,0.04012327164969842
Bayesian Single,0.04141420450560465
Bayesian Single,0.04214170201490527
Bayesian Single,0.04012506637176148
Bayesian Single,0.040327220973555324
Bayesian Single,0.04023376361054318
Bayesian Single,0.04013096260037778
Bayesian Single,0.040029996603884725
Bayesian Single,0.040071457889485
Bayesian Single,0.04075180026453722
Bayesian Single,0.040285920177527065
Bayesian Single,0.04017627694959532
Bayesian Single,0.0401351962718135
Bayesian Single,0.041495627519892005
Bayesian Single,0.04047877064350142
Bayesian Single,0.0405390515192344
Bayesian Single,0.04036776113140446
Bayesian Single,0.04032639176190411
Bayesian Single,0.04033308170648151
Bayesian Single,0.04037544903705123
Bayesian Single,0.04019388937532299
Bayesian Single,0.040305818364699146
Bayesian Single,0.04022664579717115
Bayesian Single,0.041088780483520985
Bayesian Single,0.0403341062950966
Bayesian Single,0.040612628532442074
Bayesian Single,0.04000441707722263
Bayesian Single,0.040228395741768015
Bayesian Single,0.04012324024431153
Bayesian Single,0.040135918420948546
Bayesian Single,0.04130144577860357
Bayesian Single,0.04057718789214768
Bayesian Single,0.04036790614684369
Bayesian Single,0.04114482680765812
Bayesian Single,0.04022260447799969
Bayesian Single,0.04001906321650386
Bayesian Single,0.040471065648641405
Bayesian Single,0.04009958444945646
Bayesian Single,0.04006578121050973
Bayesian Single,0.04076417534907067
Bayesian Single,0.04033712426016634
Bayesian Single,0.040281145343558616
Bayesian Single,0.04052352135585848
Bayesian Single,0.04033192404194227
Bayesian Single,0.04033016521715228
Bayesian Single,0.04053902925837701
Bayesian Single,0.04110176547632046
Bayesian Single,0.04036431401303537
Bayesian Single,0.040707805542274655
Bayesian Single,0.04004648137485933
Bayesian Single,0.040731000930326326
Bayesian Single,0.04166786187741521
Bayesian Single,0.041583678683936115
Bayesian Single,0.041005529354729425
Bayesian Single,0.04103353481906119
Bayesian Single,0.04049713297916724
Bayesian Single,0.04045234096834986
Bayesian Single,0.0409079427232944
Bayesian Single,0.0402042785430525
Bayesian Single,0.04040924419544533
Bayesian Single,0.04039969702669304
Bayesian Single,0.04016411912151951
Bayesian Single,0.04019231287883983
Bayesian Single,0.040083646366995566
Bayesian Single,0.04174143702829897
Bayesian Single,0.04027215209053388
Bayesian Single,0.04094940590759386
Bayesian Single,0.04014868826960516
Bayesian Single,0.04010613411749272
Bayesian Single,0.04078842993485351
Bayesian Single,0.04003140405233314
Bayesian Single,0.04120872066800518
Bayesian Single,0.04062288422828464
Bayesian Single,0.040094495502076805
Bayesian Single,0.04017438197422205
Bayesian Single,0.04010428809549341
Bayesian Single,0.040810402020005715
Bayesian Single,0.04028989318660669
Bayesian Single,0.04108657638851127
Bayesian Single,0.04118283257691858
Bayesian Single,0.0401956419778995
Bayesian Single,0.04024075043715262
Bayesian Single,0.04017184045701062
Bayesian Single,0.04020649900700898
Bayesian Single,0.04050801103553921
Bayesian Single,0.040172641023308746
Bayesian Single,0.04075773308212732
Bayesian Single,0.040341973255565954
Bayesian Single,0.04294682001068229
Bayesian Single,0.040172216855194905
Bayesian Single,0.04117744056083492
Bayesian Single,0.04011459401924821
Bayesian Single,0.0410564461260857
Bayesian Single,0.040133524375793886
Bayesian Single,0.040280624599277934
Bayesian Multi,0.04013343063035014
Bayesian Multi,0.040138540852158025
Bayesian Multi,0.040170763866532296
Bayesian Multi,0.04014350252481161
Bayesian Multi,0.04012294626427333
Bayesian Multi,0.040139357306140204
Bayesian Multi,0.04033164981745681
Bayesian Multi,0.04031462894215475
Bayesian Multi,0.0400950557090909
Bayesian Multi,0.04009635326095332
Bayesian Multi,0.040108617819778
Bayesian Multi,0.040203026667021954
Bayesian Multi,0.04014011344220557
Bayesian Multi,0.04009950448630848
Bayesian Multi,0.040201104274807116
Bayesian Multi,0.040240871983536854
Bayesian Multi,0.04009387416686393
Bayesian Multi,0.040081745883307214
Bayesian Multi,0.04029824655424873
Bayesian Multi,0.04022657491436799
Bayesian Multi,0.04015054926891416
Bayesian Multi,0.040139553197024204
Bayesian Multi,0.04011723734993062
Bayesian Multi,0.040194629853514525
Bayesian Multi,0.04041868235425546
Bayesian Multi,0.04015866636361456
Bayesian Multi,0.04010525190309552
Bayesian Multi,0.040106055927689586
Bayesian Multi,0.04015090825251964
Bayesian Multi,0.040157770561707544
Bayesian Multi,0.04010507971531641
Bayesian Multi,0.04032276786030912
Bayesian Multi,0.0401327144103787
Bayesian Multi,0.04010298760518983
Bayesian Multi,0.04009882800245691
Bayesian Multi,0.0403482715146465
Bayesian Multi,0.040450293745935006
Bayesian Multi,0.04018288638352567
Bayesian Multi,0.04024792807318797
Bayesian Multi,0.04014636316994176
Bayesian Multi,0.04017042673381523
Bayesian Multi,0.04017226670737599
Bayesian Multi,0.04017439728694018
Bayesian Multi,0.0400999600543669
Bayesian Multi,0.04061291343521778
Bayesian Multi,0.040125647338039055
Bayesian Multi,0.04013495638123727
Bayesian Multi,0.040200067533664806
Bayesian Multi,0.04029441254855756
Bayesian Multi,0.04017633981668116
Bayesian Multi,0.040133191842471945
Bayesian Multi,0.04009063405650417
Bayesian Multi,0.04007174115847249
Bayesian Multi,0.040180337653710985
Bayesian Multi,0.04013808830829987
Bayesian Multi,0.040121058765831774
Bayesian Multi,0.040155070857043416
Bayesian Multi,0.040447381551156396
Bayesian Multi,0.04017510814964556
Bayesian Multi,0.04010128963301433
Bayesian Multi,0.040156239514803196
Bayesian Multi,0.040153813631883466
Bayesian Multi,0.04036913087439961
Bayesian Multi,0.04011498872149091
Bayesian Multi,0.04018060388296035
Bayesian Multi,0.04008744506590132
Bayesian Multi,0.04013259096632661
Bayesian Multi,0.04009403614480565
Bayesian Multi,0.040160457986695236
Bayesian Multi,0.04007332406859172
Bayesian Multi,0.04008397511614613
Bayesian Multi,0.04012459857541901
Bayesian Multi,0.04013754893258004
Bayesian Multi,0.040095045147359044
Bayesian Multi,0.04019382945795307
Bayesian Multi,0.04017719707867056
Bayesian Multi,0.04024441684040555
Bayesian Multi,0.040106947297096324
Bayesian Multi,0.0400981828275329
Bayesian Multi,0.04009707686613098
Bayesian Multi,0.040155472653289184
Bayesian Multi,0.040098354958564404
Bayesian Multi,0.04013526953861414
Bayesian Multi,0.04016859918656147
Bayesian Multi,0.040353924606762
Bayesian Multi,0.04010376642214212
Bayesian Multi,0.040113462173736805
Bayesian Multi,0.04027937624271333
