Method,MSD
Raw Data,0.010154688582374189
Bayesian,0.008240976084363987
MA-3,0.01624579246582014
MA-5,0.020615265495008566
MA-7,0.024356198344680283
MA-15,0.03504392413137357
MA-50,0.06500562037575502
MA-75,0.08036923988718042
MA-100,0.09494206854330724
MA-150,0.11962701586298204
MA-1000,0.29805769838604224
Raw Data,0.009531898532350525
Bayesian,0.00761857061593044
MA-3,0.018727390410603856
MA-5,0.024211673924579548
MA-7,0.02880042457349108
MA-15,0.04290673279560861
MA-50,0.0724998166588923
MA-75,0.08795658693526816
MA-100,0.10045790308278543
MA-150,0.12066169086556805
MA-1000,0.3507166400537093
Raw Data,0.009843208441526238
Bayesian,0.007842011280589114
MA-3,0.021039672717148874
MA-5,0.027468976686095326
MA-7,0.0329274304728154
MA-15,0.048494125574893604
MA-50,0.0923131778248552
MA-75,0.11247684603855425
MA-100,0.12902660748735031
MA-150,0.1521839465673636
MA-1000,0.37475032426222016
Raw Data,0.009700601705818712
Bayesian,0.007482602490338535
MA-3,0.017637492215843955
MA-5,0.02309791217483074
MA-7,0.0273539865869516
MA-15,0.04063106476370123
MA-50,0.07284753121892447
MA-75,0.08719468458436831
MA-100,0.10061088147005998
MA-150,0.12667251278278313
MA-1000,0.358692597189983
Raw Data,0.009968062189961808
Bayesian,0.00794367061467135
MA-3,0.0193843261371721
MA-5,0.02533634927298947
MA-7,0.0303163419557305
MA-15,0.044002102856354856
MA-50,0.07900813849142078
MA-75,0.09581955483324738
MA-100,0.10987115853502541
MA-150,0.13849501362311825
MA-1000,0.30878044457830656
