time in hours,time in minutes,g_initial,g_empirical,Area with noise,Area without noise,x_initial,x_empirical,Area1 with noise,Area1 without noise
0.0,0.0,1.0496714153011233,1.4378499957683926,258.9446840087071,250.0,0.8584629257949585,1.4362614538750083,229.2751247269482,250.0
0.05,3.0,1.0404529163911345,2.0058420879504957,278.2463753348464,263.4713118519927,0.8412829414098969,3.4356262059678326,246.34568500925613,260.9644168582618
0.1,6.0,1.0737850113761949,1.0209334018516192,307.59964016591414,277.54057381565195,0.8288233016634736,0.5723809932910098,292.5153323073406,272.1758082126814
0.15000000000000002,9.000000000000002,1.1529345880715394,-3.8154458681721297,323.7092505004277,292.848785401251,0.7925578051023149,-0.43422426749611637,301.00778647663697,283.6920662959917
0.2,12.0,1.1348408965836243,2.1299154963101605,267.48766269418303,310.22663605606425,0.7913967006437896,1.0665325057722725,294.54297558612063,295.15990683884473
0.25,15.0,1.1174006789645519,4.091340880468905,297.5461143876739,328.33852325544495,0.8201047525244647,2.991598261179992,310.6763033866278,307.07349047454056
0.30000000000000004,18.000000000000004,1.1979950670938622,1.1956186784509377,365.0872124797657,347.2049338895679,0.9259955488369596,-2.6983697227052,360.80276730756367,319.9268382609092
0.35000000000000003,21.000000000000004,1.2320772957854473,1.234477306013534,387.5780303879587,368.6379313765002,0.9378281273693904,3.222723008210211,315.26481618391574,335.0876423825103
0.4,24.0,1.1984886717461347,6.711990441972703,412.25457646439975,392.0615376773678,0.9536193008685794,-0.5202221335576963,370.38726571262225,351.17459555638754
0.45,27.0,1.2204737676824886,-4.18709398258936,576.6529339980053,416.2738116934013,0.9513344424122713,0.9196930650080029,360.8773015578444,368.324553398665
0.5,30.0,1.187628992735057,2.228430044783765,467.7275112984678,442.4674636685811,0.8518210924267744,3.3769882324941642,377.85958899541527,386.2679154558656
0.55,33.0,1.1558446483800933,0.8270596390497807,522.8566777411461,469.5376010846867,0.8556713727303132,0.35690789707686843,447.3637761581318,403.07484520515715
0.6000000000000001,36.00000000000001,1.1632209443917498,0.6029343483253189,544.9316476958758,497.47266748850564,0.8639620090253992,0.841952202813545,455.4188183260094,420.69404413122857
0.65,39.0,1.0545605623865923,-0.8482398625301134,561.6096789397102,527.2641532821923,0.9987455461692006,1.8885698215384903,475.0001337185009,439.265464874713
0.7000000000000001,42.00000000000001,0.9599373180021394,3.063722447796031,538.288732663979,555.8117682993749,0.9886407252387389,-1.4234429542158016,522.0396676302014,461.7581232383049
0.75,45.0,0.9311785341131433,-2.140558296868775,627.3980680181961,583.1395695631813,1.0049532244633406,2.282401321687404,486.17635522560306,485.1573384352566
0.8,48.0,0.8792556824533178,2.008563652277618,563.7175349924969,610.9318920463537,1.0029463117662412,-0.9468293448740367,544.9486091054102,510.1582178556873
0.8500000000000001,51.00000000000001,0.9004906685433117,0.38475031692075534,623.2710423798694,638.3892885674995,0.9411806935756586,2.20959066247117,519.7510920041692,536.3936023293912
0.9,54.0,0.8553044447690838,2.013462039441187,635.3773027652272,667.7893642696743,1.0035614344935226,0.10352072599628534,580.4650315821308,562.2391307577302
0.9500000000000001,57.00000000000001,0.7846601723249862,4.78568285841792,702.6733286816424,696.9669715837315,1.0431084120023644,1.4981602302881136,583.4773288109841,591.1710088859888
1.0,60.0,0.8711554507331268,-7.426705639705969,892.6336451558724,724.8545628147242,1.0833173684761344,2.046498606957521,628.8631142995658,622.8219922835428
1.05,63.0,0.8636747748181798,6.324906180509724,615.7499543908631,757.1253323420377,1.0323851987721908,-1.8311348235333924,696.6189346170185,657.4880702046904
1.1,66.0,0.8722190013439824,-3.972622143431128,844.7884761645574,790.5370645246762,1.105251542582106,6.612353395141687,635.6714220627442,692.3183406313924
1.1500000000000001,69.00000000000001,0.8002961994294989,3.350800564572738,692.6017542301571,825.7759527319073,1.0275592260014277,-4.892847735078081,884.744999756194,731.6545356888944
1.2000000000000002,72.00000000000001,0.7782570231871668,3.8124007801745097,818.9272016370471,859.4892375891874,1.0575464292367545,0.5891928716083511,692.7416157827748,770.2278792020682
1.25,75.0,0.7922130091632669,-1.1469199391266025,990.9015962977993,893.5936612151501,1.171079663281822,5.951651426423204,713.4531156929207,812.0514819284084
1.3,78.0,0.7378807686883377,-1.6709948550154208,935.6759741363927,929.6998616503992,1.1127570019135429,0.4449009452807918,960.7356525767868,861.0199911693691
1.35,81.0,0.7675156513645712,1.563890498958255,860.6771751054563,964.6408376398234,1.0788838822789697,0.7659440304074929,982.3467412554047,910.2830296993516
1.4000000000000001,84.00000000000001,0.7436369477646961,3.54299063302114,930.6786184091602,1002.3791724209225,1.0813472034604534,1.0893005250218437,1020.6975494479391,960.7361052250907
1.4500000000000002,87.00000000000001,0.7372147193358142,-2.0946120889989226,1111.0530618197315,1040.3510393737092,1.0519013555189376,-0.19139607507584253,1077.8316503892434,1014.110474155872
1.5,90.0,0.7143715265150448,2.6594950989637676,1000.5778323616904,1079.4146786703395,0.9682473843763344,-0.8874242105216211,1067.5662104813493,1068.875237705136
1.55,93.0,0.8241700507838376,0.4868083985991918,1142.8811748864068,1118.6666738431618,0.9729896989185957,3.0042072209713098,1021.2325473432526,1121.8950732230307
1.6,96.0,0.8297867610877397,-0.6087483585624095,1171.040699682817,1165.7282615123179,0.9178977571938772,-0.6354990790106665,1186.7525635495695,1177.8241198460848
1.6500000000000001,99.00000000000001,0.7791100885906795,6.011619052354922,1135.9342299258556,1215.1108982968392,0.9457936674652185,4.209068643980029,1149.6363611086106,1233.1398717150496
1.7000000000000002,102.00000000000001,0.831260688371187,-1.8243756434867007,1534.241888075866,1263.3802303359441,0.8992036774516422,-1.2580106223212404,1418.9243957932797,1292.8555043211486
