smoothing,frame,growth_rate_length,growth_rate_area,division
3,0.0,2.4736974,0.23591994,False
3,0.004166666666666667,2.4736974,0.23591994,False
3,0.008333333333333333,2.4736974,0.5888557,False
3,0.0125,-0.7192611,0.41164395,False
3,0.016666666666666666,5.486526,1.1108208,False
3,0.020833333333333332,6.205787,1.2265776,False
3,0.025,-0.97280496,0.34870145,False
3,0.029166666666666667,-0.97280496,0.40609357,False
3,0.03333333333333333,0.97280496,0.8672332,False
3,0.0375,3.0105398,1.3247107,False
3,0.041666666666666664,2.9865072,0.45999524,False
3,0.04583333333333333,-1.0728264,0.22888182,False
3,0.05,-2.0215988,0.5153847,False
3,0.05416666666666667,1.6295241,0.68412775,False
3,0.058333333333333334,2.9629323,1.1940764,False
3,0.0625,2.6521108,0.84966654,False
3,0.06666666666666667,-0.38904187,0.5644226,False
3,0.07083333333333333,-0.38475034,0.8436584,False
3,0.075,0.38904187,0.3373718,False
3,0.07916666666666666,-0.9339523,0.33582684,False
3,0.08333333333333333,0.27431488,1.7282866,False
3,0.0875,3.1592557,0.8909797,False
3,0.09166666666666666,1.5864371,0.8274078,False
3,0.09583333333333333,-0.64750665,1.3789557,False
3,0.1,0.38177487,1.2032889,False
3,0.10416666666666667,-1.5777968,0.8199119,False
3,0.10833333333333334,-0.65248483,-0.873928,False
3,0.1125,0.6560897,-0.10900497,False
3,0.11666666666666667,4.0164185,2.3343656,False
3,0.12083333333333333,4.6475024,2.214775,False
3,0.125,2.9103886e-14,0.21486281,False
3,0.12916666666666665,-0.8934974,-0.2142906,False
3,0.13333333333333333,0.6310844,0.37508008,False
3,0.1375,3.6401937,0.9080886,False
3,0.14166666666666666,2.1299171,0.6935119,False
3,0.14583333333333334,-1.4944266,1.2177657,False
3,0.15,0.3616905,1.4801787,False
3,0.15416666666666667,0.87764734,0.26309967,False
3,0.15833333333333333,-0.6180381,0.94202036,False
3,0.1625,2.4482915,0.73362345,False
3,0.16666666666666666,2.0972443,1.0380363,False
3,0.17083333333333334,0.8537292,1.7631911,False
3,0.175,0.85807794,0.8753585,False
3,0.17916666666666667,0.6000709,0.5649376,False
3,0.18333333333333332,1.2031173,-0.15398024,False
3,0.1875,0.59709543,0.46028134,False
3,0.19166666666666665,0.84354395,1.5312766,False
3,0.19583333333333333,0.83936685,1.4207267,False
3,0.2,0.59291834,1.2613105,False
3,0.20416666666666666,2.951847e-14,1.1045837,False
3,0.20833333333333334,2.951847e-14,0.8003425,False
3,0.2125,0.9342384,0.3493881,False
3,0.21666666666666667,1.4194106,0.4478645,False
3,0.22083333333333333,1.0682487,0.89366907,False
3,0.225,0.92330927,0.4461479,False
3,0.22916666666666666,0.6794929,1.2792205,False
3,0.23333333333333334,-0.92330927,1.4265631,False
3,0.2375,1.2900923,0.92628473,False
3,0.24166666666666667,1.7407607,0.19540785,False
3,0.24583333333333332,1.3735198,0.38784024,False
3,0.25,1.6184233,1.0208702,False
3,0.25416666666666665,0.5643654,-0.048408505,False
3,0.2583333333333333,1.6930388,0.62765115,False
3,0.2625,1.677246,1.0126877,False
3,0.26666666666666666,2.9939643e-14,1.0070229,False
3,0.2708333333333333,1.3329505,0.67039484,False
3,0.275,1.9928168,0.47653195,False
3,0.2791666666666667,-0.5503464,0.47653195,False
3,0.2833333333333333,-0.8772468,-0.095157616,False
3,0.2875,0.5503464,0.33250806,False
3,0.2916666666666667,3.5093877,1.1370277,False
3,0.29583333333333334,1.8601226,0.80360407,False
3,0.3,-1.0832977,1.3130378,False
3,0.30416666666666664,-0.4486656,1.3585852,False
3,0.30833333333333335,1.8434142,1.0679054,False
3,0.3125,1.5250968,0.7430648,False
3,0.31666666666666665,-1.0764313,-0.092525475,False
3,0.3208333333333333,-1.0764313,0.277462,False
3,0.325,1.6110419,0.59989923,False
3,0.32916666666666666,1.9231223,1.7424773,False
3,0.3333333333333333,2.1149254,1.9631766,False
3,0.3375,2.0197105,1.4479636,False
3,0.3416666666666667,0.21686552,0.9471702,False
3,0.3458333333333333,1.2563895,0.4937553,False
3,0.35,1.2563895,0.895214,False
3,0.3541666666666667,0.30292508,1.1145973,False
3,0.35833333333333334,0.2142906,1.1979674,False
3,0.3625,-0.08863448,0.88434213,False
3,0.36666666666666664,1.5403746,0.5726051,False
3,0.37083333333333335,0.60390466,0.08806228,False
3,0.375,-1.238079,0.21949767,False
3,0.37916666666666665,2.4573324,0.83347315,False
3,0.3833333333333333,0.5144119,0.5688286,False
3,0.3875,-0.7145118,0.34921643,False
3,0.39166666666666666,2.2445297,0.5227089,False
3,0.3958333333333333,0.7145118,4.8162812e-14,False
3,0.4,0.20851134,0.69334024,False
3,0.4041666666666667,-0.2954292,0.56533813,False
3,0.4083333333333333,1.0015869,0.9469413,False
3,0.4125,0.71205133,2.192402,False
3,0.4166666666666667,-0.29251096,0.34252164,False
3,0.42083333333333334,2.4841688,0.55252075,False
3,0.425,1.6948127,1.1487006,False
3,0.42916666666666664,-0.28839108,0.5921745,False
3,0.43333333333333335,3.0732354e-14,1.0959435,False
3,0.4375,1.9556235,0.9247398,False
3,0.44166666666666665,1.9556235,0.4187965,False
3,0.4458333333333333,-0.68773264,-0.12571335,False
3,0.45,-0.28438568,0.08359908,False
3,0.45416666666666666,0.403347,0.8353614,False
3,0.4583333333333333,3.0825128e-14,0.7497596,False
3,0.46249999999999997,2.2086525,1.5713881,False
3,0.4666666666666667,2.4061773,1.2803649,False
3,0.4708333333333333,-0.08188247,0.49198148,False
3,0.475,0.27877808,1.063385,False
3,0.4791666666666667,1.2285231,1.2616538,False
3,0.48333333333333334,1.4176368,1.4570044,False
3,0.4875,0.2766037,0.6863021,False
3,0.49166666666666664,0.19437788,-0.04022598,False
3,0.49583333333333335,-0.9469413,0.4419708,False
3,0.5,0.9343528,0.84211344,False
3,0.5041666666666667,3.282108,0.4803085,False
3,0.5083333333333333,0.7357406,0.398941,False
3,0.5125,0.19140242,0.8756446,False
3,0.5166666666666666,0.19140242,0.6355476,False
3,0.5208333333333334,0.270195,0.5933761,False
3,0.525,0.9200477,0.51389694,False
3,0.5291666666666667,0.38108823,1.0607529,False
3,0.5333333333333333,0.18962859,1.5676688,False
3,0.5375,1.5579413,0.70198053,False
3,0.5416666666666666,1.3648223,0.42749402,False
3,0.5458333333333333,0.9032821,0.8137893,False
3,0.55,1.5345381,0.85052484,False
3,0.5541666666666667,1.3423346,1.2296103,False
3,0.5583333333333333,0.62994,0.997467,False
3,0.5625,0.36804196,0.076446526,False
3,0.5666666666666667,1.067791,0.60968393,False
3,0.5708333333333333,1.1415482,0.9134101,False
3,0.575,0.8774757,0.60665125,False
3,0.5791666666666666,1.056118,1.0569191,False
3,0.5833333333333334,1.4832114,1.3538359,False
3,0.5875,1.0469055,0.89864725,False
3,0.5916666666666667,3.1614827e-14,1.0795784,False
3,0.5958333333333333,0.6090545,1.076889,False
3,0.6,0.17869948,0.7757377,False
3,0.6041666666666666,0.4288101,0.5532646,False
3,0.6083333333333333,1.2864302,0.2206993,False
3,0.6125,0.85304254,0.87993616,False
3,0.6166666666666667,0.7773399,0.87884897,False
3,0.6208333333333333,0.9493446,0.72835916,False
3,0.625,0.8445167,0.6912803,False
3,0.6291666666666667,0.2467346,0.8322143,False
3,0.6333333333333333,1.4281653,0.75937265,False
3,0.6375,1.8432425,-0.14430998,False
3,0.6416666666666666,0.99964136,0.75456613,False
3,0.6458333333333334,0.58456415,0.79158777,False
3,0.65,-0.41307446,1.0698509,False
3,0.6541666666666667,1.3997267,1.3196753,False
3,0.6583333333333333,2.3878095,1.025219,False
3,0.6625,0.9799575,0.84829324,False
3,0.6666666666666666,0.40494916,0.5619049,False
3,0.6708333333333333,0.9720039,0.8423423,False
3,0.675,2.89278,0.9075164,False
3,0.6791666666666667,2.3147962,1.2871741,False
3,0.6833333333333333,0.78672403,0.79708093,False
3,0.6875,-0.72137827,0.41450498,False
3,0.6916666666666667,3.2195468e-14,0.51704407,False
3,0.6958333333333333,1.5054702,0.3443527,False
3,0.7,-0.5557823,0.41198727,False
3,0.7041666666666666,1.3268279,1.1634063,False
3,0.7083333333333334,1.7261695,0.8198547,False
3,0.7125,0.5453682,0.27208328,False
3,0.7166666666666667,2.0183945,1.118145,False
3,0.7208333333333333,-1.2541007,0.6437873,False
3,0.725,-1.2443732,0.97412103,False
3,0.7291666666666666,2.783203,1.577854,False
3,0.7333333333333333,1.4678191,0.26733398,False
3,0.7375,0.69253916,0.63205713,False
3,0.7416666666666667,1.2940406,1.1956786,False
3,0.7458333333333333,-0.31328198,0.09944915,False
3,0.75,1.061554,-0.13223648,False
3,0.7541666666666667,2.8649137,1.8421553,False
3,0.7583333333333333,0.89870447,1.0212708,False
3,0.7625,-0.15323637,0.13051987,False
3,0.7666666666666666,0.95518106,0.9150123,False
3,0.7708333333333334,0.52236557,0.90957636,False
3,0.775,0.15232085,0.97274774,False
3,0.7791666666666667,2.6403234,0.80635065,False
3,0.7833333333333333,2.6323125,0.54771423,False
3,0.7875,0.29834744,-0.032157898,False
3,0.7916666666666666,-0.14900206,0.12851715,False
3,0.7958333333333333,0.42062756,0.22487639,False
