Method,MSD
Bayesian Multi using Old chains,0.04108973500913034
Bayesian Multi using Old chains,0.04139117860025928
Bayesian Multi using Old chains,0.04028910144953945
Bayesian Multi using Old chains,0.04145187343464861
Bayesian Multi using Old chains,0.04134734313669243
Bayesian Multi using Old chains,0.0411111176251375
Bayesian Multi using Old chains,0.04072669313147399
Bayesian Multi using Old chains,0.0410878362701919
Bayesian Multi using Old chains,0.041399564032969516
Bayesian Multi using Old chains,0.04158886773101961
Bayesian Multi using Old chains,0.04169934197358799
Bayesian Multi using Old chains,0.04114334686651939
Bayesian Multi using Old chains,0.04130232900411159
Bayesian Multi using Old chains,0.041534434444318535
Bayesian Multi using Old chains,0.04119341370303378
Bayesian Multi using Old chains,0.04043618653657443
Bayesian Multi using Old chains,0.0410962437590889
Bayesian Multi using Old chains,0.04177546962562289
Bayesian Multi using Old chains,0.04119786442847812
Bayesian Multi using Old chains,0.04120259881055973
Bayesian Multi using Old chains,0.04059479443066566
Bayesian Multi using Old chains,0.04150522459635711
Bayesian Multi using Old chains,0.041229310670849284
Bayesian Multi using Old chains,0.042020883822546554
Bayesian Multi using Old chains,0.041350991158138686
Bayesian Multi using Old chains,0.04191421489793362
Bayesian Multi using Old chains,0.04121783193435268
Bayesian Multi using Old chains,0.04181662719921087
Bayesian Multi using Old chains,0.04171866499977212
Bayesian Multi using Old chains,0.04150090605131904
Bayesian Multi using Old chains,0.0414087105197499
Bayesian Multi using Old chains,0.041903936791496926
Bayesian Multi using Old chains,0.04103102814175898
Bayesian Multi using Old chains,0.04111880069000687
Bayesian Multi using Old chains,0.04094774192100647
Bayesian Multi using Old chains,0.041526931788562454
Bayesian Multi using Old chains,0.04169543311186729
Bayesian Multi using Old chains,0.04177462780442683
Bayesian Multi using Old chains,0.041310250897321425
Bayesian Multi using Old chains,0.041467961713854314
Bayesian Multi using Old chains,0.04147216600706931
Bayesian Multi using Old chains,0.04111223687937827
Bayesian Multi using Old chains,0.04064902984130997
Bayesian Multi using Old chains,0.041823260689836834
